step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
489,CASH_OUT,4241.44,C21638411,4241.44,0.0,C1781045188,256363.03,260604.47,1,0
205,TRANSFER,245694.84,C468833365,245694.84,0.0,C600157960,0.0,0.0,1,0
40,CASH_IN,144403.82,C1855727336,14948244.86,15092648.68,C1463937888,190175.64,46693.0,0,0
436,TRANSFER,1532229.72,C338287923,1532229.72,0.0,C522956447,0.0,0.0,1,0
415,TRANSFER,37766.23,C1853390476,37766.23,0.0,C1785352620,0.0,0.0,1,0
405,CASH_IN,251461.96,C821453688,8529.0,259990.96,C531992663,0.0,0.0,0,0
629,CASH_OUT,892213.56,C1720879880,892213.56,0.0,C591861774,775015.13,1667228.69,1,0
646,CASH_OUT,10000000.0,C896022572,10000000.0,0.0,C1741236640,0.0,10000000.0,1,0
183,TRANSFER,355909.21,C1946400298,355909.21,0.0,C1340648788,0.0,0.0,1,0
156,CASH_IN,100765.85,C1103883534,40005.0,140770.85,C1527765283,69043.36,0.0,0,0
235,PAYMENT,1659.95,C45438315,19240.64,17580.69,M1810292475,0.0,0.0,0,0
75,CASH_OUT,959018.79,C1566688012,959018.79,0.0,C1361631138,0.0,959018.79,1,0
254,CASH_OUT,262966.07,C1709920964,30404.0,0.0,C382918282,1733047.75,2624492.99,0,0
370,CASH_IN,84237.81,C1608939915,5640978.63,5725216.44,C1140159450,4688524.21,4604286.4,0,0
520,CASH_OUT,53325.6,C1591981184,53325.6,0.0,C1131267206,753904.94,807230.54,1,0
280,CASH_IN,11406.87,C1926010824,102068.45,113475.32,C1211258508,337252.62,464505.74,0,0
323,TRANSFER,593112.43,C1610001389,0.0,0.0,C1575575453,13099741.47,13692853.89,0,0
406,TRANSFER,126192.63,C1857315349,126192.63,0.0,C1301744071,0.0,0.0,1,0
223,CASH_OUT,2308798.26,C2091244147,2308798.26,0.0,C1649766027,771002.6,3079800.87,1,0
284,CASH_OUT,216553.51,C1313319403,5293.68,0.0,C1898874463,3692224.77,3798461.82,0,0
672,TRANSFER,234787.38,C1526831204,234787.38,0.0,C801426364,0.0,0.0,1,0
186,PAYMENT,4030.05,C517390766,20376.0,16345.95,M515160384,0.0,0.0,0,0
305,PAYMENT,36388.0,C366440213,20591.0,0.0,M116390546,0.0,0.0,0,0
69,TRANSFER,7728992.56,C139632487,7728992.56,0.0,C1966690861,0.0,0.0,1,0
328,CASH_OUT,315337.36,C124039583,50585.0,0.0,C1585568751,2734782.11,3050119.47,0,0
281,CASH_OUT,204778.86,C1378620368,204778.86,0.0,C1541299335,1325029.54,1529808.39,1,0
690,CASH_IN,105302.34,C1253621920,30790.0,136092.34,C300487396,579440.91,474138.57,0,0
311,PAYMENT,5618.27,C751993254,0.0,0.0,M1282317657,0.0,0.0,0,0
569,TRANSFER,22117.99,C862057815,22117.99,0.0,C1962362775,0.0,0.0,1,0
379,TRANSFER,626673.66,C714182090,626673.66,0.0,C1823914038,0.0,0.0,1,0
226,CASH_IN,236654.19,C1379473166,3959288.64,4195942.83,C1736786725,6266278.32,6029624.13,0,0
671,CASH_OUT,10000000.0,C1086171385,10000000.0,0.0,C1542053333,980488.81,10980488.81,1,0
227,PAYMENT,665.2,C1050996987,16829.0,16163.8,M1724023509,0.0,0.0,0,0
359,TRANSFER,105733.45,C2118754392,105733.45,0.0,C650299335,0.0,0.0,1,0
206,PAYMENT,14010.03,C971237710,0.0,0.0,M1324375761,0.0,0.0,0,0
15,CASH_IN,67888.7,C1610152609,11012.0,78900.7,C9292837,562636.31,494747.61,0,0
326,TRANSFER,15177.97,C1421733222,15177.97,0.0,C1718960484,0.0,0.0,1,0
302,CASH_OUT,64749.7,C2022985981,21253.0,0.0,C751668591,100024.04,164773.75,0,0
8,CASH_OUT,30704.74,C250980756,23162.0,0.0,C1257117293,21220.0,354275.02,0,0
277,CASH_OUT,2392482.86,C1970217984,2392482.86,0.0,C1229385284,2414558.13,4807040.99,1,0
589,PAYMENT,29828.0,C833302590,7945.0,0.0,M1167106563,0.0,0.0,0,0
38,PAYMENT,7031.7,C2052909357,0.0,0.0,M1905772083,0.0,0.0,0,0
303,TRANSFER,447009.83,C256552805,447009.83,0.0,C312822815,0.0,0.0,1,0
696,TRANSFER,343972.5,C265189494,343972.5,0.0,C902415658,0.0,0.0,1,0
637,CASH_OUT,447474.67,C1711336185,447474.67,0.0,C995717060,0.0,447474.67,1,0
10,CASH_OUT,214011.08,C1831713945,5773.0,0.0,C128035256,0.0,230352.61,0,0
355,CASH_IN,8741.71,C616773949,597547.57,606289.28,C1458174612,102770.26,94028.56,0,0
187,CASH_OUT,130162.08,C1729072277,409271.0,279108.92,C254205573,0.0,130162.08,0,0
398,PAYMENT,8334.55,C374609367,0.0,0.0,M817179052,0.0,0.0,0,0
436,CASH_OUT,591766.42,C1492365838,591766.42,0.0,C1180486169,7334547.33,7926313.75,1,0
453,TRANSFER,1028486.59,C1674374999,1028486.59,0.0,C1352876312,0.0,0.0,1,0
323,CASH_OUT,20495.46,C1307872087,0.0,0.0,C1023385482,8406013.39,8426508.86,0,0
187,CASH_IN,4376.0,C141683476,9060.0,13436.0,C1840508802,430981.67,426605.67,0,0
468,CASH_OUT,1455382.05,C1519723202,1455382.05,0.0,C2047987740,216454.16,1671836.21,1,0
34,PAYMENT,5926.41,C2131874243,81832.0,75905.59,M1600437561,0.0,0.0,0,0
437,CASH_OUT,101392.92,C662060364,101392.92,0.0,C486861418,614050.05,715442.97,1,0
64,CASH_OUT,3097121.75,C1563094045,3097121.75,0.0,C1677375515,0.0,3097121.75,1,0
187,PAYMENT,18043.82,C1272795553,0.0,0.0,M1728216611,0.0,0.0,0,0
205,CASH_OUT,846589.73,C152517143,846589.73,0.0,C1354035571,0.0,846589.73,1,0
40,CASH_OUT,67177.09,C455761388,0.0,0.0,C1013296540,1564715.51,1631892.6,0,0
166,CASH_IN,12108.83,C1069248780,52138.0,64246.83,C539455992,0.0,0.0,0,0
195,CASH_OUT,71323.49,C1822929160,71323.49,0.0,C915515895,154430.46,225753.95,1,0
160,PAYMENT,9222.38,C1800571899,0.0,0.0,M776181686,0.0,0.0,0,0
42,CASH_IN,241820.8,C1576332570,1585.0,243405.8,C958312836,0.0,0.0,0,0
522,TRANSFER,1752606.15,C1333169684,1752606.15,0.0,C722968916,0.0,0.0,1,0
323,CASH_IN,105297.31,C1827636439,6004863.57,6110160.88,C1697321577,294305.96,340904.25,0,0
370,TRANSFER,811459.21,C911097587,811459.21,0.0,C1529329683,0.0,0.0,1,0
334,CASH_IN,216171.03,C2097087575,72002.0,288173.03,C1350233960,466761.15,250590.12,0,0
523,CASH_OUT,497928.97,C881548240,497928.97,0.0,C1750630273,4112129.55,4610058.51,1,0
570,TRANSFER,1131750.38,C2117251684,1131750.38,0.0,C1002454874,0.0,0.0,1,0
617,CASH_OUT,10000000.0,C803647471,10000000.0,0.0,C1820998538,0.0,10000000.0,1,0
401,PAYMENT,6352.57,C104678444,293.0,0.0,M1753071991,0.0,0.0,0,0
424,TRANSFER,1058602.68,C1952841743,1058602.68,0.0,C1842449646,0.0,0.0,1,0
694,TRANSFER,292815.44,C4952914,292815.44,0.0,C902467451,0.0,0.0,1,0
259,CASH_OUT,126068.33,C536537223,104449.0,0.0,C467937056,0.0,126068.33,0,0
132,CASH_OUT,116259.74,C1343666537,0.0,0.0,C2114989013,1114290.45,1230550.19,0,0
305,PAYMENT,3511.9,C1532015239,0.0,0.0,M1228597669,0.0,0.0,0,0
614,CASH_OUT,1760546.42,C183358116,1760546.42,0.0,C790128788,0.0,1760546.42,1,0
110,CASH_OUT,535654.59,C412096572,535654.59,0.0,C1514312963,448145.96,983800.55,1,0
177,PAYMENT,16406.57,C1033945293,0.0,0.0,M1486763737,0.0,0.0,0,0
